,sv_lat,sv_long,sv_redshift,sv_ra_deg,sv_dec_deg
0,66.72224336918116,167.11787836803057,1.046,171.05,42.15
1,-28.57070828567513,117.23097760065806,0.7481,6.816666666666666,34.03333333333333
2,-61.72916502148263,107.60352935107844,0.554,5.666666666666667,0.2833333333333333
3,75.15777680121441,268.922898269955,1.754,184.34583333333333,14.583333333333334
4,24.663480410717476,301.97252634586135,0.009783,191.75,-38.2
5,-22.07838677193828,82.10786400325372,0.454,330.0625,26.916666666666668
6,25.13509125384836,92.19400302251988,0.16,279.9875,62.4
7,-20.088257967942408,84.09443114444915,0.483,330.20416666666665,29.633333333333333
8,43.295198554005395,235.875886756435,1.717,150.67916666666667,3.45
9,67.67794160306524,218.93835569326765,2.3,168.68333333333334,22.733333333333334
10,24.577949153239736,262.6907794785223,0.30,152.3125,-25.35
11,59.25957733032527,9.737764665036845,1.394,221.6,12.283333333333333
12,53.5214091331219,294.9124056375599,0.134,188.04166666666666,-9.05
13,-38.03208318073492,155.2473884315508,0.596,39.1625,18.15
14,50.1021813247082,44.37065313408589,0.351,238.0375,27.583333333333332
15,-36.472324352136965,35.85337501606198,0.959,317.15416666666664,-13.566666666666666
16,68.41875634208479,236.4852050237454,0.3564,172.20833333333334,17.05
17,-39.854856305102004,122.74571620923508,2.211,12.704166666666667,23.016666666666666
18,-25.637988211589835,200.57540820143097,0.718,74.61666666666666,-1.4666666666666668
19,-32.590106900068335,100.44534973468647,0.8049,351.7416666666667,26.566666666666666
20,-77.96350275479085,292.0080278823493,0.452,15.770833333333334,-38.916666666666664
21,-37.72640285420137,166.88114254524487,0.4068,47.175,13.166666666666666
22,-63.22751515929042,119.37563785349363,0.92,11.258333333333333,-0.4
23,-54.8527265285818,26.646960600400323,0.903,333.5541666666667,-25.4
24,83.31383686915117,151.1951193878764,2.609,189.09166666666667,32.96666666666667
25,-11.854251671470267,19.613417548798473,0.1218,287.6625,-17.116666666666667
26,-47.783300614502714,324.99495739936293,0.495,338.9291666666667,-63.11666666666667
27,-47.46816559753536,264.84261407505056,0.383,58.12083333333333,-54.05
28,39.87833804467535,316.18038353240104,0.2187,203.78333333333333,-21.866666666666667
29,-73.09624727470805,180.83042118445545,0.457,27.816666666666666,-17.383333333333333
30,-19.753476533582052,164.34300321678901,0.92,57.854166666666664,28.3
31,-51.11601800175518,6.4693908261133215,0.904,328.025,-37.15
32,32.64258903220492,266.43183669671697,0.827,160.44166666666666,-20.883333333333333
33,43.82821860632812,217.06617017967892,0.4095,144.5125,15.633333333333333
34,-38.99077809166827,316.8541350081401,0.111,331.97083333333336,-73.4
35,-24.995547064276337,290.6866019436907,0.4377,111.09166666666667,-78.8
36,68.77863301189866,8.553887708123215,1.131,213.025,16.983333333333334
37,23.53731002054802,81.59842819630461,0.287,278.9375,52.63333333333333
38,-36.29764364952921,204.0134193696523,1.1,66.60833333333333,-9.133333333333333
39,31.94775172400184,190.5423778393106,0.8,125.27083333333333,31.933333333333334
40,-28.586226230035766,73.56126068010182,0.5465,328.7125,16.9
41,15.791322109283547,351.2029187954181,0.258,246.2125,-26.483333333333334
42,-64.81527776066542,2.923680841927337,0.1606,345.375,-37.016666666666666
43,86.15603321311588,182.91038746653155,0.226,189.05416666666667,29.0
